distid	District	DivisionName	region
346	346 - OKLAHOMA CITY #346	SOUTH CENTRAL	WEST
347	347 - CHICAGO #347	GREAT LAKES	CENTRAL
348	348 - ROCKFORD #348	NORTH CENTRAL	CENTRAL
349	349 - BLOOMINGTON #349	GREAT LAKES	CENTRAL
35	035 - SACRAMENTO, CA	NORTHWEST	WEST
350	350 - APPLETON/GREEN BAY #350	NORTH CENTRAL	CENTRAL
351	351 - OMAHA #351	HEARTLAND	CENTRAL
352	352 - WEST COLUMBIA #352	SOUTHEAST	EAST
353	353 - CINCINNATI #353	GREAT LAKES	CENTRAL
354	354 - ALBUQUERQUE #354	SOUTHWEST	WEST
355	355 - LITTLE ROCK #355	SOUTH CENTRAL	WEST
356	356 - DALLAS #356	SOUTH CENTRAL	WEST
357	357 - AUSTIN #357	SOUTH CENTRAL	WEST
358	358 - HOUSTON #358	SOUTH CENTRAL	WEST
359	359 - MIDLAND #359	SOUTH CENTRAL	WEST
36	036 - ATLANTA, GA	SOUTHEAST	EAST
360	360 - CHARLESTON #360	GREAT LAKES	CENTRAL
361	361 - CLEVELAND #361	GREAT LAKES	CENTRAL
362	362 - ANAHEIM #362	SOUTHWEST	WEST
363	363 - SAN DIEGO #363	SOUTHWEST	WEST
364	364 - SAN FRANCISCO #364	NORTHWEST	WEST
365	365 - BURBANK #365	SOUTHWEST	WEST
366	366 - FRESNO #366	NORTHWEST	WEST
367	367 - SAN BERNARDINO #367	SOUTHWEST	WEST
368	368 - DETROIT #368	GREAT LAKES	CENTRAL
369	369 - PITTSBURGH #369	GREAT LAKES	CENTRAL
37	037 - ST LOUIS, MO	HEARTLAND	CENTRAL
370	370 - GRAND RAPIDS #370	GREAT LAKES	CENTRAL
371	371 - TOLEDO #371	GREAT LAKES	CENTRAL
372	372 - LAS VEGAS #372	SOUTHWEST	WEST
373	373 - KNOXVILLE #373	HEARTLAND	CENTRAL
374	374 - LOUISVILLE #374	GREAT LAKES	CENTRAL
375	375 - TUPELO #375	HEARTLAND	CENTRAL
376	376 - RALEIGH #376	SOUTHEAST	EAST
377	377 - DENVER #377	HEARTLAND	CENTRAL
378	378 - SALT LAKE CITY #378	NORTHWEST	WEST
379	379 - PHOENIX #379	SOUTHWEST	WEST
38	038 - TAMPA, FL	GULF	EAST
380	380 - CHARLOTTE #380	SOUTHEAST	EAST
381	381 - NORFOLK #381	SOUTHEAST	EAST
382	382 - RICHMOND #382	SOUTHEAST	EAST
383	383 - PHILADELPHIA #383	NORTHEAST	EAST
384	384 - HENRIETTA #384	NORTHEAST	EAST
385	385 - HARTFORD #385	NORTHEAST	EAST
386	386 - KANSAS CITY #386	HEARTLAND	CENTRAL
387	387 - ST LOUIS #387	HEARTLAND	CENTRAL
388	388 - NEW ORLEANS #388	GULF	EAST
389	389 - LONG ISLAND #389	NORTHEAST	EAST
39	039 - PORTLAND, OR	NORTHWEST	WEST
390	390 - CORP-SEATTLE	PACIFIC NORTHWEST	CORPORATE
398	398 - CORP-KANSAS CITY #398	CORPORATE DIVISION	CORPORATE
399	399 - CORP-PALM CITY #399	CORPORATE DIVISION	CORPORATE
4	04 - 		
40	040 - KNOXVILLE, TN	HEARTLAND	CENTRAL
400	400 - GROW BIZ A - CORPORATE	CORPORATE DIVISION	CORPORATE
41	041 - FRESNO, CA	NORTHWEST	WEST
42	042 - NASHVILLE, TN	HEARTLAND	CENTRAL
43	043 - LOUISVILLE, KY	GREAT LAKES	CENTRAL
44	044 - IOWA CITY, IA	NORTH CENTRAL	CENTRAL
45	045 - CINCINNATI, OH	GREAT LAKES	CENTRAL
46	046 - BURBANK, CA	SOUTHWEST	WEST
47	047 - MEMPHIS, TN	HEARTLAND	CENTRAL
48	048 - HOUSTON, TX	SOUTH CENTRAL	WEST
49	049 - LAS VEGAS, NV	SOUTHWEST	WEST
495	495 - SPECIALTY SERV-RADIOLOGY	SPECIALTY SERVICES	CORPORATE
496	496 - SPECIALTY SERV-STERILIZER	SPECIALTY SERVICES	CORPORATE
497	497 - SPECIALTY SERV-ANESTHESIA	SPECIALTY SERVICES	CORPORATE
498	498 - GOVERNMENT SERVICES	CORPORATE DIVISION	CORPORATE
499	499 -		
5	05 - 		
50	050 - SOUTH CHARLESTON, WV	GREAT LAKES	CENTRAL
51	051 - MARQUETTE, MI	NORTH CENTRAL	CENTRAL
52	052 - MADISON, WI	NORTH CENTRAL	CENTRAL
521	521 -		
522	522 -		
523	523 -		
524	524 -		
527	527 -		
528	528 -		
53	053 - HARTFORD, CT	NORTHEAST	EAST
530	530 -		
531	531 -		
532	532 -		
533	533 -		
534	534 -		
535	535 -		
536	536 -		
537	537 -		
538	538 -		
539	539 -		
54	054 - MILWAUKEE, WI	NORTH CENTRAL	CENTRAL
541	541 -		
542	542 -		
543	543 -		
544	544 -		
545	545 -		
546	546 -		
547	547 -		
