distid	District	DivisionName	region
968	968 - CHRIS ROGERS (1CR)	CORPORATE DIVISION	CORPORATE
969	969 - ROY RUVALCABA (285)	CORPORATE DIVISION	CORPORATE
97	097 - CORPORATE POOL	CORPORATE DIVISION	CORPORATE
970	970 - DANIEL SIEMENS (1DS)	CORPORATE DIVISION	CORPORATE
971	971 - MEREDITH SOUTHWORTH (3MS)	CORPORATE DIVISION	CORPORATE
972	972 - JOEL STAPP (1CS)	CORPORATE DIVISION	CORPORATE
973	973 - KELLEN STEELE (246)	CORPORATE DIVISION	CORPORATE
974	974 - JULIUS SUMPTER JR (106)	CORPORATE DIVISION	CORPORATE
975	975 - BRAD SUOR (267)	CORPORATE DIVISION	CORPORATE
976	976 - KARL TEACHENOR (2KT)	CORPORATE DIVISION	CORPORATE
977	977 - AMANDA THOMASTON (125)	CORPORATE DIVISION	CORPORATE
978	978 - WILSON TSAI (2WT)	CORPORATE DIVISION	CORPORATE
979	979 - TRAVIS TYREE (1TT)	CORPORATE DIVISION	CORPORATE
98	098 - DULUTH SERVICE CENTER		CORPORATE
980	980 - MARIA VALISNO	CORPORATE DIVISION	CORPORATE
981	981 - RONALD VOLLSTEDT (2RV)	CORPORATE DIVISION	CORPORATE
982	982 - LISA WEAVER (4LW)	CORPORATE DIVISION	CORPORATE
983	983 - KENNETH WRIGHT (108)	CORPORATE DIVISION	CORPORATE
984	984 - KEEYAN YOUNG (332)	CORPORATE DIVISION	CORPORATE
985	985 - ROBERT YOUNG (1BY)	CORPORATE DIVISION	CORPORATE
986	986 - MATTHEW E BRYAN (502)	CORPORATE DIVISION	CORPORATE
987	987 - DARRICK L CROOKS (504)	CORPORATE DIVISION	CORPORATE
988	988 - MICHAEL A DODDS (505)	CORPORATE DIVISION	CORPORATE
989	989 - GRANT J DOUD (506)	CORPORATE DIVISION	CORPORATE
99	099 - DALLAS COE	CENTERS OF EXCELLENCE	C O EXCELLENCE
990	990 - JOEL W FORMANEK (507)	CORPORATE DIVISION	CORPORATE
991	991 - KEVIN D FORTIN (508)	CORPORATE DIVISION	CORPORATE
992	992 - ERIC LYONS (510)	CORPORATE DIVISION	CORPORATE
993	993 - EUGENE W MARTIN (511)	CORPORATE DIVISION	CORPORATE
994	994 - MICHAEL B MULLARKY (512)	CORPORATE DIVISION	CORPORATE
995	995 - DANIEL P STEELE (514)	CORPORATE DIVISION	CORPORATE
996	996 - GEOFFREY A TOTORO (515)	CORPORATE DIVISION	CORPORATE
997	997 - TYSON T TRPKOSH (516)	CORPORATE DIVISION	CORPORATE
998	998 - KIMBERLY VANDIVER (517)	CORPORATE DIVISION	CORPORATE
999	999 - RYAN WIXSON (518)	CORPORATE DIVISION	CORPORATE
